,season,episode_number,cumulative_episode_number,title,air_date,rating_value,votes,description
39,4,8,40,Paddy's Pub: The Worst Bar in Philadelphia,2008-10-16,8.5,3000,The gang kidnaps the writer of a review claiming that Paddy's is the worst bar in Philadelphia and tries to force him to change his mind. But things get worse when Dennis and Dee accidentally kidnap the writer's neighbor.
40,4,9,41,Dennis Reynolds: An Erotic Life,2008-10-23,8.1,3000,"While Frank and Mac come up with ways to spice up Dennis' erotic memoir, Dee finds that spending time in Charlie's shoes is way more difficult than it seems, and vice-versa."
41,4,10,42,Sweet Dee Has a Heart Attack,2008-10-30,8.9,3900,"After Dee suffers a heart attack, she and Dennis try a healthier lifestyle. Charlie and Mac join the corporate work force to get health insurance."
42,4,11,43,The Gang Cracks the Liberty Bell,2008-11-06,7.6,3200,"In order to get Paddy's recognized by the city as a historical landmark, Mac, Dennis, and Charlie flash back to 1776 to tell the tale of the Paddy's crew's involvement in the cracking of the Liberty Bell."
43,4,12,44,The Gang Gets Extreme: Home Makeover Edition,2008-11-13,8.3,3000,"While trying to make their own dreams come true, the gang decides to pay it forward to an unlucky family living in the city only to have their plans backfire on them."
44,4,13,45,The Nightman Cometh,2008-11-20,9.7,8000,"Charlie stages a rock opera based on his song ""Nightman,"" and recruits the rest of the gang to help him with it."
45,5,1,46,The Gang Exploits the Mortgage Crisis,2009-09-17,8.3,3000,"While Frank buys a foreclosed house with intentions of selling it for profit, Mac and Dennis become hot-headed real estate brokers, and Dee takes advantage of a suburban couple looking to hire a surrogate mother."
46,5,2,47,The Gang Hits the Road,2009-09-24,9.1,3800,"The gang takes Dee's new subcompact car and a U-haul on the road with the intentions of hitting the Grand Canyon, and Charlie attempts to expand his horizons."
47,5,3,48,The Great Recession,2009-10-01,8.0,2700,"Mac and Dennis try to cut back Paddy's expenses by firing Dee and Charlie, and Frank figures out a clever way to keep the bar afloat."
48,5,4,49,The Gang Gives Frank an Intervention,2009-10-08,8.7,3300,"After Frank embarrasses himself at the funeral of a deceased relative, Dennis and Dee decide that it's finally time to give him an intervention for his reckless lifestyle."
49,5,5,50,The Waitress Is Getting Married,2009-10-15,8.8,3200,"Dee discovers that the waitress Charlie is obsessed with is getting married to her ex-boyfriend and plots to derail the wedding, while Mac, Frank and Dennis try to get Charlie back on the dating scene."
50,5,6,51,The World Series Defense,2009-10-22,8.3,2700,"Fighting a series of traffic tickets, Dennis, along with the rest of the gang, tell the judge about their horrific experiences at Game 5 of the Phillies' world series."
51,5,7,52,The Gang Wrestles for the Troops,2009-10-29,8.5,3000,The gang decides to put on a wrestling show for troops returning home while Dee courts a soldier who doesn't seem like the person she's chatting online with.
52,5,8,53,Paddy's Pub: Home of the Original Kitten Mittens,2009-11-05,8.9,3400,The gang attempts to create a merchandising angle for Paddy's when a convention comes to Philly.
53,5,9,54,Mac and Dennis Break Up,2009-11-12,8.5,2900,"Taking Dee's advice seriously, Mac and Dennis decide that they're too co-dependent on each other and need to spend time apart. Meanwhile Charlie and Frank help Dee out with a major cat problem in her apartment."
54,5,10,55,The D.E.N.N.I.S. System,2009-11-19,9.3,4600,"Dennis presents his fool-proof plan for picking up chicks, but soon finds that the gang each has their own fool-proof plans for one-upping each other."
55,5,11,56,Mac and Charlie Write a Movie,2009-12-03,8.1,2700,"After Dee gets cast as an extra in the new M. Night Shyamalan movie, Mac and Charlie see a perfect opportunity to pitch their script, while Frank becomes a casting agent for Dennis."
56,5,12,57,The Gang Reignites the Rivalry,2009-12-10,8.5,2800,"Mac, Dennis, and Charlie seek revenge on another bar after their 10-year ban in a local flip-cup tournament is lifted, but find they need serious practice. Dee discovers new skills, and Frank wears tight pants."
57,6,1,58,Mac Fights Gay Marriage,2010-09-16,7.9,2700,"Mac pulls out the big guns to protect the sanctity of marriage, while the rest of the gang reap the rewards of marital bliss."
58,6,2,59,Dennis Gets Divorced,2010-09-23,7.6,2600,"Marital bliss turns to marital business, as the gang experiences the emotional and economic tribulations of divorce."
59,6,3,60,The Gang Buys a Boat,2010-09-30,8.8,3400,The gang attempts to open themselves up to the adventures of the sea after they purchase their new boat.
60,6,4,61,Mac's Big Break,2010-10-07,8.1,2600,"After Mac wins a radio contest to score a goal on the Flyers' ice, he and Charlie train for the event - badly, while Dennis and Dee start their own radio program."
61,6,5,62,Mac and Charlie: White Trash,2010-10-14,8.1,2700,"Mac & Charlie attempt to fix up their old pool after getting rejected by a country club, Dennis, Dee, and Frank attempt to gain entry to the club."
62,6,6,63,Mac's Mom Burns Her House Down,2010-10-21,7.6,2500,"Charlie and Mac set up a truly odd couple after Mac's Mom burns the house down, while Frank discovers the importance of paternal care when Dee falls ill."
